Id,PublisherId,PublisherName,Status,InstagramHandle,TikTokHandle
7314949,10006552191,Sarai Reed,Active,apron.saint,
7317042,10006553377,housebeautiful,Active,housebeautiful,
7317044,10006553378,elledecor,Active,elledecor,
7509321,10006747926,Ambiente,Active,ambientefair,
7509320,10006747925,Julieta  Tello,Active,design.junkie,
7509347,10006747952,Janne  Ford,Active,jannelford,
7509349,10006747954,Paula  Sutton,Active,hillhousevintage,hillhousevintage
7509351,10006747956,Jessica  Turner,Active,jessicamay_home,
7509353,10006747958,Family  House Style & Tweaks,Active,styletheclutter,
7509346,10006747951,Clara,Active,clara.at.the.cottage,
7509339,10006747944,Claire,Active,kawaiigirl79,
7509356,10006747961,The  Domestic Geek,Active,thedomesticgeek1,
7509364,10006747969,Tim  Labenda,Active,timlabenda,
7509367,10006747972,Jade  Doutch,Active,jade.doutch,jadedoutch
7509361,10006747966,Dee,Active,deecampling,
7509360,10006747965,Susanna  Hawkins,Active,shnordic,shnordic
7509365,10006747970,CHELSEA  & (OCCASIONALLY) MR S,Active,thehousethatblackbuilt,
7509366,10006747971,Sam  Cuthbert,Active,theonebespoke,
7509374,10006747979,CaliKim29  Garden & Home DIY,Active,calikim29,
7509372,10006747977,Hermione  Chantal,Active,hermionechantal,
7509395,10006748000,Jacqueline  Mikuta,Active,mikutas,
7509397,10006748002,Jane  Rockett,Active,rockettstgeorge,
7509453,10006748055,WisconsinGarden,Active,,
7509473,10006748075,Amal  Al Aboudi,Active,amal_alaboudiii,
7509493,10006748096,Woodworker's  Journal Magazine,Active,woodworkersjournal,
8010299,10007291403,thehouseofSL,Active,,
8010300,10007291404,curatedinterior,Active,,
10244281,10009551368,cococozy,Active,cococozy,
10250570,10009556947,Fia Garcia DIY,Active,,
10250987,10009557542,Eye Charlene 💕,Active,eyecharlene,eyecharlene
10250997,10009557550,Erin Gates,Active,elementstyle,
10251949,10009558474,Hayden Cohen,Active,hayderz,hihayderz
10252116,10009558671,gretchengeraghty,Active,gretchengeraghty,gretchengeraghty
10263525,10009567864,Alexa Hampton,Active,alexahamptoninc,
10464471,10009755629,Anna Jane Wisniewski,Active,seeannajane,seeannajane
10644161,10009826936,Life Stylishly - Home Decor,Active,lifestylishly,
10644285,10009827048,ALLI,Active,the.hoss.homestead,the.hoss.homestead
10644304,10009827068,Liz Kamarul,Active,liz_kamarul,
10644318,10009827080,Audrey Crisp | Interiors,Active,audreycrispinteriors,
10684905,10009858675,Good  Housekeeping,Active,,
10684978,10009858742,Houzz,Active,houzz,
10685439,10009859182,This  Old House,Active,,thisoldhouse
10685454,10009859194,Ken Fulk,Active,kenfulk,
10685481,10009859215,Roman and Williams,Active,roman_and_williams_,
10685489,10009859223,Official  Thom Filicia Page,Active,,
10685503,10009859236,About.com,Active,,
10685506,10009859239,The  Spruce,Active,,thespruceofficial
10685512,10009859244,HGTV,Active,,hgtv
10685514,10009859246,HGTV  Magazine,Active,hgtvmagazine,
10685517,10009859247,Matt Risinger,Active,risingerbuild,
10699802,10009871034,Joss  & Main,Active,jossandmain,
10700730,10009871908,Ashley  Stark Kenner,Active,ashleytstark,
10700925,10009872099,Brooke Tucker,Active,clickandlove,clickandlove
10705505,10009874145,Glen Proebstel,Active,glenproebstel,
10705577,10009874230,Victoria Hagan,Active,victoriahaganinteriors,
10705956,10009874561,Avant  Garde Home,Active,the_avantgarde_,the_avantgarde
10705966,10009874568,Martina Gieske - DIY Remodeling & Home Design,Active,thelivedinlook,
10705978,10009874577,taybeepboop Nakamoto,Active,taybeepboop,taybeepboop
10706002,10009874600,Dawson Hoppes,Active,dawson.diy,
10706011,10009874607,mishkashoe,Active,mishkashoe,
10706342,10009874894,thedelaneys,Active,,thedelaneys
10860217,10009884372,NS  Builders,Active,nsbuilders,
10860221,10009884375,Jackie Hempel,Active,finding__lovely,
10860231,10009884382,Desiree Burns Interiors,Active,dburnsinteriors,
10860236,10009884386,ashsteele,Active,ashsteele,
10865182,10009888411,Mary  Spears 🌸  Boston,Active,millay._,
10897051,10009910471,Kylie Reidhead | Building & Beauty,Active,buildingandbeauty,
10897096,10009910479,Melissa  • NJ Photographer,Active,capturedbymel,
10897116,10009910490,gabrielle | life as mrs baker,Active,lifeasmrsbaker,
10897220,10009910516,Ma’ya ⚜️ | Houston Influencer,Active,marekeis,mayaejackson
10964134,10009974676,home_of_blossom,Active,byjenniferzimmermann,
10964143,10009974685,Jennifer Sumko,Active,jennifer_sumko,
10975913,10009985380,thecumberlandproject,Active,thecumberlandproject,
11059210,10010056608,CLAUDIANE | BOSTON BLOGGER 🇭🇹,Active,itsclaudiane,
11099331,10010089999,Stacey  Blake,Active,designaddictmom,
11099349,10010090011,Kelly . Handmade Pottery. DIY . Decor . Humor . Life,Active,hartley_home,
11119764,10010097467,Chrissy Rutherford,Active,chrissyford,chrissyford
11280579,10010228935,Jenny  Bravo,Active,jennybravobooks,
11295777,10010243566,Lauren Nelson Design,Active,lauren_nelson_design,
11421634,10010385963,jessicanabongo,Active,jessicanabongo,
11426834,10010390075,Bestie Keeks,Active,klizgold,klizgold
11428468,10010391710,Wellness  Practitioner + Chef,Active,itsjennybravo,
11428471,10010391714,Binta  Paye,Active,officialbinta,
11448532,10010411475,XO  Marshmallow™️,Active,xo.marshmallow,
11448535,10010411478,Kathlyn Celeste 🇨🇻,Active,kathlynceleste,kathlynceleste
11448538,10010411481,_reignland,Active,,summerreignhenning
11448540,10010411483,athomewithavery,Active,,heyaveryraley
11448542,10010411485,ash__guzman,Active,ash__guzman,
11448550,10010411492,Summer Reign Henning,Active,summerreignhenning,
11448677,10010411612,boxleyco,Active,,ash__guzman
11449205,10010412138,Blake Gifford,Active,signedblake,
11461670,10010425299,Lauren Shaver,Active,blesserhouse,blesserhouse
11573947,10010535893,Kale,Active,twist_of_lemons,
11608290,10010566426,Maggie MacDonald,Active,maggiemacdonald,maggie.macdonald
11662258,10010589675,raising_hayes,Active,raising_hayes,
