Id,PublisherId,PublisherName,Status,LastPostDate,TimeSinceLastPost_Days,PostsCount_Sep2025_Jan2026,PostsCount_Jan2026_Today,TotalDistinctPostsTracked,DataStatus,ActivationStatus
12897518,10011617573,Allisa Jacobs,Active,Pending,,,,,Pending,Pending - data not yet available
12906899,10011626021,Christine Gummersall - DIY & Home,Active,Pending,,,,,Pending,Pending - data not yet available
21995135,10020103780,Kayla Falconer,Active,2026-05-21,54,0,1,1,Verified,Newly Activated
24418577,10021986914,Mallory Fletchall | Reserve Home,Active,Pending,,,,,Pending,Pending - data not yet available
24418651,10021986985,Aliyah Simone,Active,Pending,,,,,Pending,Pending - data not yet available
24418777,10021987121,Annie Tran Mescall,Active,Pending,,,,,Pending,Pending - data not yet available
24472124,10022027443,Allison Kelley,Active,Pending,,,,,Pending,Pending - data not yet available
24472148,10022027469,Kristy Cadwallader,Active,Pending,,,,,Pending,Pending - data not yet available
24472161,10022027482,CANDICE MARIE ♡ Simply Healthy Living & Home,Active,Pending,,,,,Pending,Pending - data not yet available
24691117,10022218590,Racheal Jackson,Active,Pending,,,,,Pending,Pending - data not yet available
24790350,10022316985,Kendal Clark,Active,Pending,,,,,Pending,Pending - data not yet available
24790384,10022317019,Katie Walleigh | Home Decor | Interior Design,Active,2026-04-27,78,14,16,30,Verified,Consistently Active
24812978,10022339100,Alejandra Gamez,Active,Pending,,,,,Pending,Pending - data not yet available
24934961,10022460524,Nallely Padilla,Active,Pending,,,,,Pending,Pending - data not yet available
24996000,10022521483,All Beauty By Sarah,Active,Pending,,,,,Pending,Pending - data not yet available
25014395,10022540289,frugalcurvyfinds,Active,,,0,0,0,Verified,Never Activated
25087486,10022613333,Jessica Small,Active,2026-03-21,115,0,1,1,Verified,Newly Activated
25135442,10022661044,Aditi Oberoi Malhotra,Active,Pending,,,,,Pending,Pending - data not yet available
25254378,10022779022,Chelsea Halasz,Active,Pending,,,,,Pending,Pending - data not yet available
25312215,10022836626,Alicia Bordewyk,Active,Pending,,,,,Pending,Pending - data not yet available
25312751,10022837163,Lidia Salazar,Active,Pending,,,,,Pending,Pending - data not yet available
25312834,10022837246,STARLA | DIGITAL CREATOR,Active,Pending,,,,,Pending,Pending - data not yet available
25410273,10022934680,Caroll Salazar,Active,Pending,,,,,Pending,Pending - data not yet available
25410332,10022934739,Altagracia,Active,,,0,0,0,Verified,Never Activated
25588169,10023113605,Amethyst Almaguer,Active,Pending,,,,,Pending,Pending - data not yet available
25588216,10023113652,Liz Grella | Seasonal & Holiday Home Decor,Active,,,0,0,0,Verified,Never Activated
25588254,10023113690,Kalyn Letizia,Active,2025-11-12,244,1,0,1,Verified,Went Dark
25609138,10023134454,Forever Millennials,Active,Pending,,,,,Pending,Pending - data not yet available
25609347,10023134667,Crystal Tan,Active,Pending,,,,,Pending,Pending - data not yet available
25635701,10023161022,🕯 ⚯͛ Samantha Kumal △⃒⃘,Active,Pending,,,,,Pending,Pending - data not yet available
25679519,10023205850,Vivian Kendall | Fashion & Lifestyle content,Active,Pending,,,,,Pending,Pending - data not yet available
25679803,10023206135,shalom_joy,Active,,,0,0,0,Verified,Never Activated
25709035,10023235768,Alieta Casey,Active,Pending,,,,,Pending,Pending - data not yet available
25711519,10023239009,STEPHANIE RIOS | PERSONAL + MOTHERHOOD,Active,Pending,,,,,Pending,Pending - data not yet available
25711561,10023239051,Lara | Dallas Content Creator,Active,Pending,,,,,Pending,Pending - data not yet available
